Nombre,Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas
Lago Argentino,Santa Cruz,1435,500,150,"-50.25,72.65"
Lago Viedma,Santa Cruz,1166,,,"-49.62,72.5"
Lago Nahuel Huapi,Río Negro / Neuquén,540,464,157,"-40.85,71.62"
Lago Musters,Chubut,427,39,20,"-45.41,69.2"
Lago Cardiel,Santa Cruz,358,,49,"-48.92,71.21"
Lago Epecuén,Buenos Aires,156,11,7,"-37.13,62.86"
Lago Pellegrini,Río Negro,116,,,"-38.71,67.97"
Lago Strobel,Santa Cruz,100,,,"-48.43,71.19"
Lago Fontana,Chubut,84,,79,"-44.92,71.5"
Lago Huechulafquen,Neuquén,84,,142,"-39.77,71.51"
Lago Traful,Neuquén,78,,,"-40.63,71.42"
Lago La Plata,Chubut,73,,,"-44.86,71.82"
Lago Ghío,Santa Cruz,65,,,"-47.29,71.53"
Lago Menéndez,Chubut,58,287,149,"-42.69,71.86"
Lago Aluminé,Neuquén,58,165,64,"-38.92,71.13"
Lago Lácar,Neuquén,53,277,166,"-40.16,71.44"
Lago Yehuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43,"-54.41,67.72"
Lago Quiroga,Santa Cruz,47,,,"-48.42,71.55"
Lago Puelo,Chubut,47,180,111,"-42.15,71.65"
Lago Nansen,Santa Cruz,42,,,"-47.98,72.35"
Lago Belgrano,Santa Cruz,42,,,"-47.84,72.14"
Lago Futalaufquen,Chubut,42,168,101,"-42.83,71.68"
Lago Posadas,Santa Cruz,41,,31,"-47.49,71.83"
Lago Espejo,Neuquén,40,,,"-40.68,71.71"
Lago Mascardi,Río Negro,39,218,111,"-41.35,71.55"
Lago Chepelmut,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,"-54.39,67.59"
Lago Salitroso o Sucio,Santa Cruz,37,,,"-47.5,71.61"
Lago Lolog,Neuquén,37,,,"-40.04,71.54"
Lago Tar,Santa Cruz,30,,,"-49.23,72.02"
Lago Tromen,Neuquén,29,,69,"-39.53,71.45"
Lago Blanco,Chubut,28,,,"-45.89,71.22"
Lago Quillén,Neuquén,26,,,"-39.41,71.31"
Lago Asador o Guitarra,Santa Cruz,23,,,"-47.86,71.47"
Lago Rivadavia,Chubut,23,147,104,"-42.61,71.67"
Lago Moquehue,Neuquén,21,,,"-38.9,71.27"
Lago Correntoso,Neuquén,20,,,"-40.7,71.66"
Lago Río Chico,Chubut,20,,,"-45.59,68.55"
Lago Quiroga Chico,Santa Cruz,20,,,"-48.5,71.58"
Lago Epuyén,Chubut,17,148,92,"-42.19,71.51"
Lago Gutiérrez,Río Negro,17,111,80,"-41.21,71.42"
Lago Cholila,Chubut,17,108,49,"-42.46,71.67"
Lago Paimún,Neuquén,16,,66,"-39.72,71.58"
Lago Azara,Santa Cruz,16,,,"-47.85,72.27"
Lago Burmeister,Santa Cruz,14,,,"-47.96,72.2"
Lago Onelli,Santa Cruz,14,,,"-50.11,73.35"
Lago Meliquina,Neuquén,14,,,"-40.33,71.32"
Lago Perito Moreno,Río Negro,12,,,"-41.07,71.54"
Lago Currhué,Neuquén,12,,,"-39.84,71.51"
Lago Falkner,Neuquén,11,,,"-40.48,71.48"
Lago Pico Nº 1,Chubut,10,,,"-44.24,71.5"
Lago Río Bueno,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,"-54.69,65.81"
Lago Rosario,Chubut,10,57,25,"-43.26,71.35"
Lago Buenos Aires,Santa Cruz,843,,,"-46.44,71.71"
Lago San Martín,Santa Cruz,537,,,"-48.9,72.7"
Lago Fagnano,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,,81,"-54.56,67.89"
Lago Pueyrredón,Santa Cruz,125,,,"-47.36,71.93"
Lago General Vintter,Chubut,96,,,"-43.93,71.53"
