team,nationality,position,age,potential,name
C Barcelon,Argentina,Delantero Centro | Media Punta | Extremo Derecho | ,33,Sobresaliente,Lionel Messi
uventu,Portugal,Delantero Centro | Extremo Izquierdo | ,35,Sobresaliente,Cristiano Ronaldo
aris Saint-Germai,Brazil,Medio Centro Ofensivo | Extremo Izquierdo | ,28,Sobresaliente,Neymar Jr
iverpoo,Netherlands,Defensa Central,29,Sobresaliente,Virgil van Dijk
tlético Madri,Slovenia,Portero,27,Sobresaliente,Jan Oblak
anchester Cit,Belgium,Medio Centro | Medio Centro Ofensivo | ,29,Sobresaliente,Kevin De Bruyne
C Bayern Münche,Poland,Delantero Centro,31,Sobresaliente,Robert Lewandowski
eal Madri,Belgium,Delantero Centro | Extremo Izquierdo | ,29,Sobresaliente,Eden Hazard
iverpoo,Brazil,Portero,27,Sobresaliente,Alisson
iverpoo,Egypt,Delantero Centro | Extremo Derecho | ,28,Sobresaliente,Mohamed Salah
iverpoo,Senegal,Extremo Izquierdo,28,Sobresaliente,Sadio Mané
C Barcelon,Germany,Portero,28,Sobresaliente,Marc-André ter Stegen
anchester Cit,Argentina,Delantero Centro,32,Sobresaliente,Sergio Agüero
aris Saint-Germai,France,Delantero Centro | Extremo Derecho | Extremo Izquierdo | ,21,Sobresaliente,Kylian Mbappé
helse,France,Medio Centro Defensivo | Medio Centro | ,29,Muy Bueno,N'Golo Kanté
ottenham Hotspu,England,Delantero Centro,27,Sobresaliente,Harry Kane
C Barcelon,France,Delantero Centro | Media Punta | Extremo Izquierdo | ,29,Muy Bueno,Antoine Griezmann
eal Madri,Germany,Medio Centro,30,Muy Bueno,Toni Kroos
eal Madri,Croatia,Medio Centro,34,Muy Bueno,Luka Modric
C Barcelon,Uruguay,Delantero Centro,33,Muy Bueno,Luis Suárez
C Bayern Münche,Germany,Portero,34,Muy Bueno,Manuel Neuer
eal Madri,Spain,Defensa Central,34,Muy Bueno,Sergio Ramos
anchester Cit,Brazil,Portero,26,Sobresaliente,Ederson
anchester Cit,England,Extremo Derecho | Extremo Izquierdo | ,25,Sobresaliente,Raheem Sterling
iverpoo,Brazil,Media Punta,28,Muy Bueno,Roberto Firmino
apol,Senegal,Defensa Central,29,Sobresaliente,Kalidou Koulibaly
eal Madri,Brazil,Medio Centro Defensivo,28,Muy Bueno,Casemiro
anchester Unite,Spain,Portero,29,Muy Bueno,De Gea
eal Madri,Belgium,Portero,28,Muy Bueno,Thibaut Courtois
C Barcelon,Spain,Medio Centro Defensivo,32,Muy Bueno,Sergio Busquets
rsena,Gabon,Delantero Centro | Medio Izquierdo | ,31,Muy Bueno,Pierre-Emerick Aubameyang
eal Madri,France,Delantero Centro | Media Punta | ,32,Muy Bueno,Karim Benzema
nte,Slovenia,Portero,36,Muy Bueno,Samir Handanovic
C Barcelon,Spain,Defensa Central,33,Muy Bueno,Piqué
uventu,Italy,Defensa Central,35,Muy Bueno,Giorgio Chiellini
anchester Cit,Portugal,Medio Centro | Medio Centro Ofensivo | Extremo Derecho | ,25,Sobresaliente,Bernardo Silva
C Bayern Münche,Germany,Lateral Derecho | Medio Centro Defensivo | Medio Centro | ,25,Sobresaliente,Joshua Kimmich
anchester Cit,France,Defensa Central,26,Sobresaliente,Aymeric Laporte
uventu,Argentina,Medio Centro Ofensivo | Media Punta | ,26,Sobresaliente,Paulo Dybala
ottenham Hotspu,Korea Republic,Medio Izquierdo | Media Punta | ,28,Muy Bueno,Heung Min Son
aris Saint-Germai,Italy,Medio Centro Defensivo | Medio Centro | ,27,Muy Bueno,Marco Verratti
anchester Unite,France,Medio Centro Defensivo | Medio Centro | ,27,Muy Bueno,Paul Pogba
aris Saint-Germai,Costa Rica,Portero,33,Muy Bueno,Keylor Navas
azi,Italy,Delantero Centro,30,Muy Bueno,Ciro Immobile
nte,Denmark,Medio Derecho | Medio Centro | Medio Centro Ofensivo | ,28,Muy Bueno,Christian Eriksen
alencia C,Spain,Medio Centro,31,Muy Bueno,Parejo
orussia Dortmun,Germany,Medio Centro Ofensivo | Media Punta | ,31,Muy Bueno,Marco Reus
uventu,Poland,Portero,30,Muy Bueno,Wojciech Szczesny
