Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Nombre
Santa Cruz,1435,500.0,150.0,"-50.25,-72.65",Lago Argentino
Río Negro / Neuquén,540,464.0,157.0,"-40.85,-71.62",Lago Nahuel Huapi
Chubut,427,39.0,20.0,"-45.41,-69.2",Lago Musters
Buenos Aires,156,11.0,7.0,"-37.13,-62.86",Lago Epecuén
Chubut,58,287.0,149.0,"-42.69,-71.86",Lago Menéndez
Neuquén,58,165.0,64.0,"-38.92,-71.13",Lago Aluminé
Neuquén,53,277.0,166.0,"-40.16,-71.44",Lago Lácar
Chubut,47,180.0,111.0,"-42.15,-71.65",Lago Puelo
Chubut,42,168.0,101.0,"-42.83,-71.68",Lago Futalaufquen
Río Negro,39,218.0,111.0,"-41.35,-71.55",Lago Mascardi
Chubut,23,147.0,104.0,"-42.61,-71.67",Lago Rivadavia
Chubut,17,148.0,92.0,"-42.19,-71.51",Lago Epuyén
Río Negro,17,111.0,80.0,"-41.21,-71.42",Lago Gutiérrez
Chubut,17,108.0,49.0,"-42.46,-71.67",Lago Cholila
Chubut,10,57.0,25.0,"-43.26,-71.35",Lago Rosario
