Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
-141,,Estratovolcán,False,False,Etna(Italy)
1262,3.0,Volcán subglacial,False,False,Katla(Iceland)
1300,4.0,Estratovolcán,False,False,Hekla(Iceland)
1331,2.0,Caldera,False,False,Aso(Japan)
1714,,Volcán complejo,False,False,Vesuvius(Italy)
1907,,Volcán escudo,False,False,Savai'i(Samoa)
1911,2.0,Volcán complejo,False,False,Asama(Japan)
1913,4.0,Estratovolcán,False,False,Colima(Mexico)
1944,3.0,Estratovolcán,False,False,Cleveland(United States)
1952,2.0,Volcán submarino,False,False,Myojun Knoll(Japan)
1960,3.0,Estratovolcán,False,False,Puyehue(Chile)
1971,2.0,Estratovolcán,False,False,La Palma(Spain)
1972,1.0,Estratovolcán,False,False,Ritter Island(Papua New Guinea)
1979,3.0,Estratovolcán,False,False,Soufriere St. Vincent(St. Vincent & the Grenadines)
1983,3.0,Estratovolcán,False,False,Miyake-jima(Japan)
1984,3.0,Estratovolcán,False,False,Etna(Italy)
1990,2.0,Caldera,False,False,Aso(Japan)
1991,2.0,Estratovolcán,False,False,Etna(Italy)
1994,3.0,Estratovolcán,False,False,Semeru(Indonesia)
2007,,Estratovolcán,False,False,Salak(Indonesia)
2017,2.0,Estratovolcán,False,False,Fuego(Guatemala)
2017,,Volcán escudo,False,False,Aoba(Vanuatu)
2018,3.0,Volcán escudo,False,False,Aoba(Vanuatu)
2019,2.0,Estratovolcán,False,False,Stromboli(Italy)
1593,5.0,Estratovolcán,False,False,Raung(Indonesia)
1609,,Cono piroclástico,False,False,Tengchong(China)
1692,4.0,Estratovolcán,False,False,Serua(Pacific Ocean)
1718,2.0,Estratovolcán,False,False,Pico(Portugal)
1846,,Caldera,False,False,Taupo(New Zealand)
1866,2.0,Volcán escudo,False,False,Santorini(Greece)
1877,0.0,Volcán escudo,False,False,Mauna Loa(United States)
1883,3.0,Cono de lava,False,False,Bagana(Papua New Guinea)
1886,4.0,Volcán escudo,False,False,Niuafo'ou(Tonga)
1896,2.0,Volcán escudo,False,False,Kirishima(Japan)
1902,4.0,Estratovolcán,False,False,Pelee(Martinique)
1914,,Volcán escudo,False,False,Aoba(Vanuatu)
1923,1.0,Estratovolcán,False,False,Papandayan(Indonesia)
1928,2.0,Volcán escudo,False,False,Santorini(Greece)
1947,,Estratovolcán,False,False,Akagi(Japan)
1963,5.0,Estratovolcán,False,False,Agung(Indonesia)
1963,2.0,Estratovolcán,False,False,Semeru(Indonesia)
1965,4.0,Estratovolcán,False,False,Taal(Philippines)
1973,3.0,Volcán submarino,False,False,Vestmannaeyjar(Iceland)
1974,3.0,Estratovolcán,False,False,Karangetang [Api Siau](Indonesia)
1975,0.0,Volcán escudo,False,False,Kilauea(United States)
1982,5.0,Cono de toba,False,False,"Chichon, El(Mexico)"
1986,3.0,Maar,False,False,Oku Volc Field(Cameroon)
1992,3.0,Estratovolcán,False,False,Semeru(Indonesia)
1994,3.0,Estratovolcán,False,False,Yasur(Vanuatu)
1998,,Estratovolcán,False,False,San Cristobal(Nicaragua)
2004,2.0,Estratovolcán,False,False,Tengger Caldera(Indonesia)
2007,,Estratovolcán,False,False,Huila(Colombia)
2008,,Caldera,False,False,Chaiten(Chile)
2008,3.0,Estratovolcán,False,False,Kasatochi(United States)
2017,,Estratovolcán,False,False,Merapi(Indonesia)
-4050,6.0,Caldera,False,False,Masaya(Nicaragua)
-2420,5.0,Volcán complejo,False,False,Vesuvius(Italy)
79,5.0,Volcán complejo,False,False,Vesuvius(Italy)
1375,5.0,Cono de toba,False,False,"Chichon, El(Mexico)"
1376,3.0,Estratovolcán,False,False,Kelut(Indonesia)
1538,3.0,Caldera,False,False,Campi Flegrei(Italy)
1664,2.0,Volcán complejo,False,False,Unzen(Japan)
1698,3.0,Estratovolcán,False,False,Cotopaxi(Ecuador)
1775,3.0,Estratovolcán,False,False,Gamalama(Indonesia)
1800,2.0,Estratovolcán,False,False,Mayon(Philippines)
1822,4.0,Estratovolcán,False,False,Usu(Japan)
1822,5.0,Estratovolcán,False,False,Galunggung(Indonesia)
1840,2.0,Estratovolcán,False,False,Gamalama(Indonesia)
1874,3.0,Estratovolcán,False,False,Miyake-jima(Japan)
1911,,Volcán de lodo,False,False,Piparo(Trinidad)
1911,3.0,Estratovolcán,False,False,Semeru(Indonesia)
1916,3.0,Estratovolcán,False,False,Stromboli(Italy)
1928,2.0,Volcán complejo,False,False,Dieng Volc Complex(Indonesia)
1933,2.0,Estratovolcán,False,False,Bulusan(Philippines)
1944,2.0,Estratovolcán,False,False,Usu(Japan)
1953,,Estratovolcán,False,False,Ruapehu(New Zealand)
1966,4.0,Estratovolcán,False,False,Kelut(Indonesia)
1966,4.0,Estratovolcán,False,False,"Lengai, Ol Doinyo(Tanzania)"
1969,,Caldera,False,False,Narugo(Japan)
1971,3.0,Estratovolcán,False,False,"Hudson, Cerro(Chile)"
1973,2.0,Volcán complejo,False,False,Iliwerung(Indonesia)
1979,2.0,Estratovolcán,False,False,Karkar(Papua New Guinea)
1981,2.0,Estratovolcán,False,False,Etna(Italy)
1982,5.0,Cono de toba,False,False,"Chichon, El(Mexico)"
1993,2.0,Volcán complejo,False,False,Galeras(Colombia)
2002,3.0,Estratovolcán,False,False,Etna(Italy)
2008,,Estratovolcán,False,False,Huila(Colombia)
2011,4.0,Estratovolcán,False,False,Puyehue(Chile)
2013,,Domo de lava,False,False,Okataina(New Zealand)
2014,3.0,Volcán complejo,False,False,On-take(Japan)
2014,,Estratovolcán,False,False,Gamalama(Indonesia)
2018,,Estratovolcán,False,False,Mayon(Philippines)
2018,4.0,Estratovolcán,False,False,Manam(Papua New Guinea)
200,,Campo volcánico,False,False,"Arhab, Harra of(Yemen)"
640,2.0,Campo volcánico,False,False,"Uwayrid, Harrat(Saudi Arabia)"
1169,,Estratovolcán,False,False,Etna(Italy)
1600,6.0,Estratovolcán,False,False,Huaynaputina(Peru)
1629,2.0,Caldera,False,False,Grimsvotn(Iceland)
1717,3.0,Estratovolcán,False,False,Bardarbunga(Iceland)
1778,4.0,Estratovolcán,False,False,Raikoke(Russia)
1789,2.0,Estratovolcán,False,False,Oshima(Japan)
1805,2.0,Volcán complejo,False,False,Vesuvius(Italy)
1829,2.0,Volcán complejo,False,False,Guntur(Indonesia)
1837,,Volcán complejo,False,False,Peuet Sague(Indonesia)
1853,2.0,Volcán submarino,False,False,Unnamed(Taiwan)
1854,2.0,Caldera,False,False,Aso(Japan)
1860,2.0,Estratovolcán,False,False,Semeru(Indonesia)
1871,2.0,Estratovolcán,False,False,Camiguin(Philippines)
1875,5.0,Estratovolcán,False,False,Askja(Iceland)
1886,4.0,Estratovolcán,False,False,Tungurahua(Ecuador)
1886,2.0,Domo de lava,False,False,Okataina(New Zealand)
1893,4.0,Estratovolcán,False,False,Calbuco(Chile)
1951,3.0,Estratovolcán,False,False,Camiguin(Philippines)
1953,2.0,Volcán submarino,False,False,Myojun Knoll(Japan)
1957,,Volcán complejo,False,False,Unzen(Japan)
1981,3.0,Estratovolcán,False,False,Semeru(Indonesia)
1993,,Estratovolcán,False,False,Wurlali(Indonesia)
1993,1.0,Estratovolcán,False,False,Pinatubo(Philippines)
1996,2.0,Estratovolcán,False,False,Kanlaon(Philippines)
2013,,Estratovolcán,False,False,Mayon(Philippines)
2017,,Estratovolcán,False,False,Etna(Italy)
2017,,Volcán complejo,False,False,Dieng Volc Complex(Indonesia)
-1750,6.0,Estratovolcán,False,False,Veniaminof(United States)
847,6.0,Estratovolcán,False,False,Bona-Churchill(United States)
930,6.0,Estratovolcán,False,False,Ceboruco(Mexico)
1158,4.0,Estratovolcán,False,False,Hekla(Iceland)
1329,1.0,Estratovolcán,False,False,Etna(Italy)
1510,4.0,Estratovolcán,False,False,Hekla(Iceland)
