Team,Nationality,Position,Age,Potential,Name
FC Barcelona ,Argentina,Delantero Centro|Media Punta|Extremo Derecho,33,Sobresaliente,Lionel Messi
Juventus ,Portugal,Delantero Centro|Extremo Izquierdo,35,Sobresaliente,Cristiano Ronaldo
Paris Saint-Germain ,Brazil,Medio Centro Ofensivo|Extremo Izquierdo,28,Sobresaliente,Neymar Jr
Liverpool ,Netherlands,Defensa Central,29,Sobresaliente,Virgil van Dijk
Atlético Madrid ,Slovenia,Portero,27,Sobresaliente,Jan Oblak
Manchester City ,Belgium,Medio Centro|Medio Centro Ofensivo,29,Sobresaliente,Kevin De Bruyne
FC Bayern München ,Poland,Delantero Centro,31,Sobresaliente,Robert Lewandowski
Real Madrid ,Belgium,Delantero Centro|Extremo Izquierdo,29,Sobresaliente,Eden Hazard
Liverpool ,Brazil,Portero,27,Sobresaliente,Alisson
Liverpool ,Egypt,Delantero Centro|Extremo Derecho,28,Sobresaliente,Mohamed Salah
Liverpool ,Senegal,Extremo Izquierdo,28,Sobresaliente,Sadio Mané
FC Barcelona ,Germany,Portero,28,Sobresaliente,Marc-André ter Stegen
Manchester City ,Argentina,Delantero Centro,32,Sobresaliente,Sergio Agüero
Paris Saint-Germain ,France,Delantero Centro|Extremo Derecho|Extremo Izquierdo,21,Sobresaliente,Kylian Mbappé
Chelsea ,France,Medio Centro Defensivo|Medio Centro,29,Muy Bueno,N'Golo Kanté
Tottenham Hotspur ,England,Delantero Centro,27,Sobresaliente,Harry Kane
FC Barcelona ,France,Delantero Centro|Media Punta|Extremo Izquierdo,29,Muy Bueno,Antoine Griezmann
Real Madrid ,Germany,Medio Centro,30,Muy Bueno,Toni Kroos
Real Madrid ,Croatia,Medio Centro,34,Muy Bueno,Luka Modric
FC Barcelona ,Uruguay,Delantero Centro,33,Muy Bueno,Luis Suárez
FC Bayern München ,Germany,Portero,34,Muy Bueno,Manuel Neuer
Real Madrid ,Spain,Defensa Central,34,Muy Bueno,Sergio Ramos
Manchester City ,Brazil,Portero,26,Sobresaliente,Ederson
Manchester City ,England,Extremo Derecho|Extremo Izquierdo,25,Sobresaliente,Raheem Sterling
Liverpool ,Brazil,Media Punta,28,Muy Bueno,Roberto Firmino
Napoli ,Senegal,Defensa Central,29,Sobresaliente,Kalidou Koulibaly
Real Madrid ,Brazil,Medio Centro Defensivo,28,Muy Bueno,Casemiro
Manchester United ,Spain,Portero,29,Muy Bueno,De Gea
Real Madrid ,Belgium,Portero,28,Muy Bueno,Thibaut Courtois
FC Barcelona ,Spain,Medio Centro Defensivo,32,Muy Bueno,Sergio Busquets
Arsenal ,Gabon,Delantero Centro|Medio Izquierdo,31,Muy Bueno,Pierre-Emerick Aubameyang
Real Madrid ,France,Delantero Centro|Media Punta,32,Muy Bueno,Karim Benzema
Inter ,Slovenia,Portero,36,Muy Bueno,Samir Handanovic
FC Barcelona ,Spain,Defensa Central,33,Muy Bueno,Piqué
Juventus ,Italy,Defensa Central,35,Muy Bueno,Giorgio Chiellini
Manchester City ,Portugal,Medio Centro|Medio Centro Ofensivo|Extremo Derecho,25,Sobresaliente,Bernardo Silva
FC Bayern München ,Germany,Lateral Derecho|Medio Centro Defensivo|Medio Centro,25,Sobresaliente,Joshua Kimmich
Manchester City ,France,Defensa Central,26,Sobresaliente,Aymeric Laporte
Juventus ,Argentina,Medio Centro Ofensivo|Media Punta,26,Sobresaliente,Paulo Dybala
Tottenham Hotspur ,Korea Republic,Medio Izquierdo|Media Punta,28,Muy Bueno,Heung Min Son
Paris Saint-Germain ,Italy,Medio Centro Defensivo|Medio Centro,27,Muy Bueno,Marco Verratti
Manchester United ,France,Medio Centro Defensivo|Medio Centro,27,Muy Bueno,Paul Pogba
Paris Saint-Germain ,Costa Rica,Portero,33,Muy Bueno,Keylor Navas
Lazio ,Italy,Delantero Centro,30,Muy Bueno,Ciro Immobile
Inter ,Denmark,Medio Derecho|Medio Centro|Medio Centro Ofensivo,28,Muy Bueno,Christian Eriksen
Valencia CF ,Spain,Medio Centro,31,Muy Bueno,Parejo
Borussia Dortmund ,Germany,Medio Centro Ofensivo|Media Punta,31,Muy Bueno,Marco Reus
Juventus ,Poland,Portero,30,Muy Bueno,Wojciech Szczesny
Paris Saint-Germain ,Argentina,Extremo Derecho|Extremo Izquierdo,32,Muy Bueno,Ángel Di María
Inter ,Uruguay,Defensa Central,34,Muy Bueno,Diego Godín
Borussia Dortmund ,Germany,Defensa Central,31,Muy Bueno,Mats Hummels
Napoli ,Belgium,Delantero Centro|Media Punta,33,Muy Bueno,Dries Mertens
Manchester City ,Spain,Medio Centro|Medio Centro Ofensivo,34,Muy Bueno,David Silva
Tottenham Hotspur ,France,Portero,33,Muy Bueno,Hugo Lloris
Paris Saint-Germain ,Brazil,Defensa Central,35,Muy Bueno,Thiago Silva
Borussia Dortmund ,England,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,20,Sobresaliente,Jadon Sancho
Inter ,Slovakia,Defensa Central,25,Sobresaliente,Milan Škriniar
FC Barcelona ,Netherlands,Medio Centro,23,Sobresaliente,Frenkie de Jong
Manchester City ,Germany,Extremo Izquierdo,24,Sobresaliente,Leroy Sané
FC Barcelona ,France,Defensa Central,25,Sobresaliente,Clément Lenglet
Liverpool ,Scotland,Lateral Izquierdo,26,Muy Bueno,Andrew Robertson
Manchester United ,Portugal,Medio Centro|Medio Centro Ofensivo,25,Muy Bueno,Bruno Fernandes
RB Leipzig ,Germany,Delantero Centro,24,Muy Bueno,Timo Werner
Liverpool ,Brazil,Medio Centro Defensivo,26,Muy Bueno,Fabinho
Leicester City ,England,Delantero Centro,33,Muy Bueno,Jamie Vardy
Ajax ,Morocco,Medio Centro Ofensivo|Extremo Derecho,27,Muy Bueno,Hakim Ziyech
Paris Saint-Germain ,Brazil,Defensa Central|Medio Centro Defensivo,26,Sobresaliente,Marquinhos
Manchester City ,Algeria,Medio Derecho|Extremo Derecho,29,Muy Bueno,Riyad Mahrez
Real Madrid ,France,Defensa Central,27,Muy Bueno,Raphaël Varane
Paris Saint-Germain ,Argentina,Delantero Centro,27,Muy Bueno,Mauro Icardi
Napoli ,Italy,Medio Izquierdo|Media Punta|Extremo Izquierdo,29,Muy Bueno,Lorenzo Insigne
Atlético Madrid ,Spain,Medio Derecho|Medio Izquierdo|Medio Centro,28,Muy Bueno,Koke
Inter ,Belgium,Delantero Centro,27,Muy Bueno,Romelu Lukaku
FC Bayern München ,Spain,Medio Centro Defensivo|Medio Centro,29,Muy Bueno,Thiago
FC Barcelona ,Spain,Lateral Izquierdo,31,Muy Bueno,Jordi Alba
Juventus ,Italy,Defensa Central,33,Muy Bueno,Leonardo Bonucci
Tottenham Hotspur ,Belgium,Defensa Central,31,Muy Bueno,Toby Alderweireld
Juventus ,Bosnia & Herzegovina,Medio Centro Defensivo|Medio Centro,30,Muy Bueno,Miralem Pjanic
Paris Saint-Germain ,Uruguay,Delantero Centro,33,Muy Bueno,Edinson Cavani
Borussia Mönchengladbach ,Switzerland,Portero,31,Muy Bueno,Yann Sommer
Atalanta ,Argentina,Delantero Centro|Medio Centro Ofensivo|Media Punta,32,Muy Bueno,Alejandro Gómez
Juventus ,Netherlands,Defensa Central,20,Sobresaliente,Matthijs de Ligt
Manchester City ,Spain,Medio Centro Defensivo|Medio Centro,24,Muy Bueno,Rodri
Liverpool ,England,Lateral Derecho,21,Sobresaliente,Trent Alexander-Arnold
FC Barcelona ,Brazil,Medio Centro,23,Sobresaliente,Arthur
Milan ,Italy,Portero,21,Sobresaliente,Gianluigi Donnarumma
Ajax ,Cameroon,Portero,24,Muy Bueno,André Onana
Lazio ,Serbia,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,25,Sobresaliente,Sergej Milinkovic-Savic
Real Betis ,France,Delantero Centro|Medio Derecho|Medio Centro Ofensivo,27,Muy Bueno,Nabil Fekir
Atlético Madrid ,Uruguay,Defensa Central,25,Muy Bueno,José María Giménez
FC Bayern München ,Germany,Defensa Central,24,Sobresaliente,Niklas Süle
Atlético Madrid ,Spain,Lateral Izquierdo|Medio Izquierdo|Medio Centro,25,Muy Bueno,Saúl
FC Bayern München ,Germany,Medio Derecho|Medio Izquierdo|Extremo Derecho,25,Muy Bueno,Serge Gnabry
FC Barcelona ,France,Defensa Central,26,Muy Bueno,Samuel Umtiti
Real Madrid ,Spain,Lateral Derecho,28,Muy Bueno,Carvajal
Lazio ,Spain,Medio Centro|Medio Centro Ofensivo|Media Punta,27,Muy Bueno,Luis Alberto
Inter ,Netherlands,Defensa Central,28,Muy Bueno,Stefan de Vrij
SL Benfica ,Portugal,Medio Derecho|Medio Centro,30,Muy Bueno,Pizzi
Real Madrid ,Spain,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,28,Muy Bueno,Isco
RC Celta ,Spain,Delantero Centro|Extremo Derecho,32,Muy Bueno,Iago Aspas
Arsenal ,Germany,Portero,28,Muy Bueno,Bernd Leno
FC Bayern München ,Germany,Medio Derecho|Medio Centro Ofensivo|Extremo Derecho,30,Muy Bueno,Thomas Müller
FC Bayern München ,Brazil,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,28,Muy Bueno,Coutinho
Borussia Dortmund ,Switzerland,Portero,29,Muy Bueno,Roman Bürki
Guangzhou Evergrande Taobao FC ,Brazil,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,32,Muy Bueno,Paulinho
RB Leipzig ,Hungary,Portero,30,Muy Bueno,Péter Gulácsi
Liverpool ,England,Medio Centro Defensivo|Medio Centro,30,Muy Bueno,Jordan Henderson
Liverpool ,Netherlands,Medio Centro Defensivo|Medio Centro,29,Muy Bueno,Georginio Wijnaldum
Borussia Dortmund ,Belgium,Medio Centro Defensivo|Medio Centro,31,Muy Bueno,Axel Witsel
Real Madrid ,Wales,Delantero Centro|Extremo Derecho|Extremo Izquierdo,31,Muy Bueno,Gareth Bale
Tottenham Hotspur ,Belgium,Lateral Izquierdo|Defensa Central,33,Muy Bueno,Jan Vertonghen
FC Barcelona ,Croatia,Medio Centro,32,Muy Bueno,Ivan Rakitic
Juventus ,Argentina,Delantero Centro,32,Muy Bueno,Gonzalo Higuaín
Manchester City ,Brazil,Defensa Central|Medio Centro Defensivo,35,Muy Bueno,Fernandinho
Milan ,Sweden,Delantero Centro,38,Muy Bueno,Zlatan Ibrahimovic
Bayer 04 Leverkusen ,Germany,Medio Derecho|Medio Centro Ofensivo,21,Sobresaliente,Kai Havertz
Manchester United ,England,Delantero Centro|Medio Izquierdo,22,Muy Bueno,Marcus Rashford
Inter ,Argentina,Delantero Centro,22,Sobresaliente,Lautaro Martínez
Leicester City ,Nigeria,Medio Centro Defensivo|Medio Centro,23,Muy Bueno,Wilfred Ndidi
FC Bayern München ,France,Lateral Izquierdo|Defensa Central,24,Muy Bueno,Lucas Hernández
FC Bayern München ,France,Medio Derecho|Medio Izquierdo|Extremo Izquierdo,24,Muy Bueno,Kingsley Coman
FC Porto ,Brazil,Lateral Izquierdo,27,Muy Bueno,Alex Telles
Borussia Dortmund ,Germany,Medio Izquierdo|Medio Centro|Medio Centro Ofensivo,24,Muy Bueno,Julian Brandt
