Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
-141,,Estratovolcán,True,True,Etna(Italy)
1262,3,Volcán subglacial,True,True,Katla(Iceland)
1300,4,Estratovolcán,True,True,Hekla(Iceland)
1331,2,Caldera,True,True,Aso(Japan)
1714,,Volcán complejo,False,True,Vesuvius(Italy)
1907,,Volcán escudo,False,True,Savai'i(Samoa)
1911,2,Volcán complejo,True,True,Asama(Japan)
1913,4,Estratovolcán,True,True,Colima(Mexico)
1944,3,Estratovolcán,True,True,Cleveland(United States)
1952,2,Volcán submarino,False,True,Myojun Knoll(Japan)
1960,3,Estratovolcán,False,False,Puyehue(Chile)
1971,2,Estratovolcán,True,True,La Palma(Spain)
1972,1,Estratovolcán,False,True,Ritter Island(Papua New Guinea)
1979,3,Estratovolcán,True,True,Soufriere St. Vincent(St. Vincent & the Grenadines)
1983,3,Estratovolcán,True,False,Miyake-jima(Japan)
1984,3,Estratovolcán,True,True,Etna(Italy)
1990,2,Caldera,True,True,Aso(Japan)
1991,2,Estratovolcán,True,True,Etna(Italy)
1994,3,Estratovolcán,True,True,Semeru(Indonesia)
2007,,Estratovolcán,True,True,Salak(Indonesia)
2017,2,Estratovolcán,True,True,Fuego(Guatemala)
2017,,Volcán escudo,True,True,Aoba(Vanuatu)
2018,3,Volcán escudo,True,True,Aoba(Vanuatu)
2019,2,Estratovolcán,False,True,Stromboli(Italy)
1593,5,Estratovolcán,True,True,Raung(Indonesia)
1609,,Cono piroclástico,True,True,Tengchong(China)
1692,4,Estratovolcán,True,True,Serua(Pacific Ocean)
1718,2,Estratovolcán,True,True,Pico(Portugal)
1846,,Caldera,True,True,Taupo(New Zealand)
1866,2,Volcán escudo,True,True,Santorini(Greece)
1877,0,Volcán escudo,False,False,Mauna Loa(United States)
1883,3,Cono de lava,True,True,Bagana(Papua New Guinea)
1886,4,Volcán escudo,True,True,Niuafo'ou(Tonga)
1896,2,Volcán escudo,True,True,Kirishima(Japan)
1902,4,Estratovolcán,False,True,Pelee(Martinique)
1914,,Volcán escudo,True,True,Aoba(Vanuatu)
1923,1,Estratovolcán,True,True,Papandayan(Indonesia)
1928,2,Volcán escudo,True,True,Santorini(Greece)
1947,,Estratovolcán,True,True,Akagi(Japan)
1963,5,Estratovolcán,False,True,Agung(Indonesia)
1963,2,Estratovolcán,True,True,Semeru(Indonesia)
1965,4,Estratovolcán,False,True,Taal(Philippines)
1973,3,Volcán submarino,True,True,Vestmannaeyjar(Iceland)
1974,3,Estratovolcán,True,True,Karangetang [Api Siau](Indonesia)
1975,0,Volcán escudo,False,False,Kilauea(United States)
1982,5,Cono de toba,True,True,"Chichon, El(Mexico)"
1986,3,Maar,True,True,Oku Volc Field(Cameroon)
1992,3,Estratovolcán,True,True,Semeru(Indonesia)
1994,3,Estratovolcán,True,True,Yasur(Vanuatu)
1998,,Estratovolcán,True,True,San Cristobal(Nicaragua)
2004,2,Estratovolcán,True,True,Tengger Caldera(Indonesia)
2007,,Estratovolcán,True,True,Huila(Colombia)
2008,,Caldera,True,True,Chaiten(Chile)
2008,3,Estratovolcán,False,True,Kasatochi(United States)
2017,,Estratovolcán,True,True,Merapi(Indonesia)
-4050,6,Caldera,True,True,Masaya(Nicaragua)
-2420,5,Volcán complejo,True,True,Vesuvius(Italy)
79,5,Volcán complejo,False,False,Vesuvius(Italy)
1375,5,Cono de toba,True,True,"Chichon, El(Mexico)"
1376,3,Estratovolcán,True,True,Kelut(Indonesia)
1538,3,Caldera,True,True,Campi Flegrei(Italy)
1664,2,Volcán complejo,True,True,Unzen(Japan)
1698,3,Estratovolcán,True,True,Cotopaxi(Ecuador)
1775,3,Estratovolcán,True,True,Gamalama(Indonesia)
1800,2,Estratovolcán,True,True,Mayon(Philippines)
1822,4,Estratovolcán,True,True,Usu(Japan)
1822,5,Estratovolcán,True,True,Galunggung(Indonesia)
1840,2,Estratovolcán,False,True,Gamalama(Indonesia)
1874,3,Estratovolcán,True,True,Miyake-jima(Japan)
1911,,Volcán de lodo,False,True,Piparo(Trinidad)
1911,3,Estratovolcán,True,True,Semeru(Indonesia)
1916,3,Estratovolcán,False,True,Stromboli(Italy)
1928,2,Volcán complejo,True,True,Dieng Volc Complex(Indonesia)
1933,2,Estratovolcán,False,True,Bulusan(Philippines)
1944,2,Estratovolcán,True,True,Usu(Japan)
1953,,Estratovolcán,True,True,Ruapehu(New Zealand)
1966,4,Estratovolcán,True,True,Kelut(Indonesia)
1966,4,Estratovolcán,True,True,"Lengai, Ol Doinyo(Tanzania)"
1969,,Caldera,True,True,Narugo(Japan)
1971,3,Estratovolcán,True,True,"Hudson, Cerro(Chile)"
1973,2,Volcán complejo,True,True,Iliwerung(Indonesia)
1979,2,Estratovolcán,True,True,Karkar(Papua New Guinea)
1981,2,Estratovolcán,True,True,Etna(Italy)
1982,5,Cono de toba,True,False,"Chichon, El(Mexico)"
1993,2,Volcán complejo,True,True,Galeras(Colombia)
2002,3,Estratovolcán,True,False,Etna(Italy)
2008,,Estratovolcán,True,True,Huila(Colombia)
2011,4,Estratovolcán,True,True,Puyehue(Chile)
2013,,Domo de lava,True,True,Okataina(New Zealand)
2014,3,Volcán complejo,True,True,On-take(Japan)
2014,,Estratovolcán,True,True,Gamalama(Indonesia)
2018,,Estratovolcán,True,True,Mayon(Philippines)
2018,4,Estratovolcán,True,True,Manam(Papua New Guinea)
200,,Campo volcánico,True,True,"Arhab, Harra of(Yemen)"
640,2,Campo volcánico,True,True,"Uwayrid, Harrat(Saudi Arabia)"
1169,,Estratovolcán,False,True,Etna(Italy)
1600,6,Estratovolcán,True,False,Huaynaputina(Peru)
1629,2,Caldera,True,True,Grimsvotn(Iceland)
1717,3,Estratovolcán,True,True,Bardarbunga(Iceland)
1778,4,Estratovolcán,True,True,Raikoke(Russia)
1789,2,Estratovolcán,True,True,Oshima(Japan)
1805,2,Volcán complejo,True,True,Vesuvius(Italy)
1829,2,Volcán complejo,True,True,Guntur(Indonesia)
1837,,Volcán complejo,False,False,Peuet Sague(Indonesia)
1853,2,Volcán submarino,False,True,Unnamed(Taiwan)
1854,2,Caldera,True,True,Aso(Japan)
1860,2,Estratovolcán,True,True,Semeru(Indonesia)
1871,2,Estratovolcán,False,False,Camiguin(Philippines)
1875,5,Estratovolcán,True,True,Askja(Iceland)
1886,4,Estratovolcán,True,True,Tungurahua(Ecuador)
1886,2,Domo de lava,True,True,Okataina(New Zealand)
1893,4,Estratovolcán,True,True,Calbuco(Chile)
1951,3,Estratovolcán,True,True,Camiguin(Philippines)
1953,2,Volcán submarino,False,True,Myojun Knoll(Japan)
1957,,Volcán complejo,True,True,Unzen(Japan)
1981,3,Estratovolcán,True,True,Semeru(Indonesia)
1993,,Estratovolcán,True,True,Wurlali(Indonesia)
1993,1,Estratovolcán,True,True,Pinatubo(Philippines)
1996,2,Estratovolcán,True,True,Kanlaon(Philippines)
2013,,Estratovolcán,True,True,Mayon(Philippines)
2017,,Estratovolcán,True,True,Etna(Italy)
2017,,Volcán complejo,True,True,Dieng Volc Complex(Indonesia)
-1750,6,Estratovolcán,True,True,Veniaminof(United States)
847,6,Estratovolcán,True,True,Bona-Churchill(United States)
930,6,Estratovolcán,True,True,Ceboruco(Mexico)
1158,4,Estratovolcán,True,True,Hekla(Iceland)
1329,1,Estratovolcán,True,True,Etna(Italy)
1510,4,Estratovolcán,True,True,Hekla(Iceland)
1615,3,Caldera,True,True,Banda Api(Pacific Ocean)
1617,3,Estratovolcán,True,True,Fuego(Guatemala)
1646,4,Estratovolcán,True,True,Makian(Indonesia)
1677,2,Estratovolcán,True,True,La Palma(Spain)
1784,0,Volcán escudo,True,True,Hualalai(United States)
1800,5,Estratovolcán,True,True,St. Helens(United States)
1820,2,Caldera,True,True,Banda Api(Pacific Ocean)
1827,2,Estratovolcán,False,False,Avachinsky(Russia)
1843,2,Estratovolcán,True,True,Etna(Italy)
1847,2,Volcán complejo,True,True,Dieng Volc Complex(Indonesia)
1857,,Volcán complejo,False,False,Umboi(Papua New Guinea)
1866,2,Volcán escudo,False,True,Ofu-Olosega(United States)
1870,2,Estratovolcán,True,True,Ruang(Indonesia)
1870,3,Volcán complejo,True,True,Iliwerung(Indonesia)
1885,3,Estratovolcán,True,False,Purace(Colombia)
1897,2,Estratovolcán,False,True,Tinakula(Solomon Is.)
1902,4,Estratovolcán,False,True,Soufriere St. Vincent(St. Vincent & the Grenadines)
1903,,Volcán escudo,True,True,Karthala(Comoros)
1932,3,Estratovolcán,True,True,Kusatsu-Shirane(Japan)
1951,2,Volcán submarino,False,True,Kavachi(Solomon Is.)
1971,,Estratovolcán,True,True,Kusatsu-Shirane(Japan)
1991,1,Estratovolcán,True,True,Lokon-Empung(Indonesia)
1995,3,Volcán complejo,True,True,Pacaya(Guatemala)
1998,,Volcán escudo,True,True,Kilauea(United States)
1999,2,Estratovolcán,True,True,Fuego(Guatemala)
2011,3,Estratovolcán,True,True,Gamalama(Indonesia)
2017,,Estratovolcán,True,True,Sinabung(Indonesia)
-3550,6,Estratovolcán,True,True,Pinatubo(Philippines)
1050,,Volcán escudo,False,True,Santorini(Greece)
1177,3,Volcán subglacial,True,True,Katla(Iceland)
1595,4,Estratovolcán,True,True,Ruiz(Colombia)
1598,3,Caldera,True,True,Banda Api(Pacific Ocean)
1638,4,Estratovolcán,True,True,Raung(Indonesia)
1659,3,Estratovolcán,True,False,San Salvador(El Salvador)
1684,2,Caldera,True,True,Grimsvotn(Iceland)
1693,4,Estratovolcán,False,True,Hekla(Iceland)
1694,3,Caldera,True,True,Banda Api(Pacific Ocean)
1794,3,Volcán complejo,True,True,Vesuvius(Italy)
1800,1,Respiradero de fisura,True,True,San Jorge(Portugal)
1816,2,Caldera,True,True,Aso(Japan)
1817,2,Estratovolcán,True,True,Ijen(Indonesia)
1825,,Estratovolcán,True,True,Balbi(Papua New Guinea)
1846,1,Estratovolcán,True,True,E-san(Japan)
1875,,Estratovolcán,True,True,Mayon(Philippines)
1889,2,Volcán submarino,False,False,Banua Wuhu(Indonesia)
1912,6,Caldera,True,True,Novarupta(United States)
1953,,Volcán complejo,True,True,Hakone(Japan)
1961,,Estratovolcán,True,True,Daisetsu(Japan)
1964,1,Volcán complejo,True,True,Dieng Volc Complex(Indonesia)
1965,0,Volcán submarino,False,True,Kick-'em-Jenny(Netherlands)
1971,2,Estratovolcán,False,True,Tinakula(Solomon Is.)
1976,2,Estratovolcán,True,True,Semeru(Indonesia)
1976,2,Estratovolcán,True,True,Karangetang [Api Siau](Indonesia)
1978,3,Estratovolcán,True,True,Santa Maria(Guatemala)
1983,2,Estratovolcán,True,True,Kliuchevskoi(Russia)
1986,3,Estratovolcán,True,True,Oshima(Japan)
1992,2,Estratovolcán,True,True,Karangetang [Api Siau](Indonesia)
